L7_558	165.14726507713885	111.74521339154046
L7_559	158.4852734922861	115.99638998795776
L7_601	165.49789621318374	119.64025564202973
L7_602	158.83590462833098	123.89143223844702
L7_603	152.17391304347825	128.14260883486432
L7_646	159.18653576437586	131.7864744889363
L7_647	152.52454417952313	136.0376510853536
L7_648	145.8625525946704	140.2888276817709
L7_692	159.53716690042074	139.68151673942558
L7_693	152.87517531556801	143.93269333584286
L7_694	146.2131837307153	148.18386993226017
L7_739	159.88779803646563	147.57655898991484
L7_740	153.2258064516129	151.82773558633215
L7_741	146.56381486676017	156.07891218274943
L7_787	166.90042075736324	151.2204246439868
L7_788	160.2384291725105	155.4716012404041
L7_789	153.57643758765778	159.72277783682142
L7_790	146.91444600280505	163.9739544332387
L7_837	167.25105189340812	159.11546689447607
L7_838	160.5890603085554	163.36664349089338
L7_839	153.92706872370266	167.6178200873107
L7_840	147.26507713884993	171.86899668372797
L7_889	167.601683029453	167.01050914496537
L7_890	160.93969144460027	171.26168574138265
L7_891	154.27769985974754	175.51286233779996
L7_942	167.95231416549788	174.90555139545464
L7_943	161.29032258064515	179.15672799187192
L7_944	154.62833099579242	183.40790458828923
L7_997	168.30294530154276	182.8005936459439
L7_998	161.64095371669003	187.0517702423612
L7_1052	175.31556802244037	186.44445930001586
L7_1053	168.65357643758765	190.69563589643317
L7_1054	161.99158485273492	194.94681249285046
L7_1110	175.66619915848526	194.33950155050513
L7_1111	169.00420757363253	198.59067814692244
L7_1169	176.01683029453014	202.2345438009944
L7_1170	169.3548387096774	206.4857203974117
L7_1229	176.36746143057502	210.12958605148367
L7_1290	183.38008415147266	213.77345170555566
L7_1291	176.7180925666199	218.02462830197297
L7_1353	183.73071528751754	221.66849395604493
L7_1354	177.06872370266478	225.91967055246224
L7_1418	190.74333800841515	225.31235961011689
L7_1419	184.0813464235624	229.5635362065342
L7_1485	191.09396914446003	233.20740186060618
L7_1486	184.43197755960728	237.45857845702346
L7_1554	191.44460028050491	241.10244411109545
L7_1555	184.78260869565216	245.35362070751273
L7_1623	198.45722300140253	244.7463097651674
L7_1624	191.7952314165498	248.99748636158472
L7_1695	198.8078541374474	252.64135201565668
L7_1696	192.14586255259468	256.892528612074
L7_1768	199.1584852734923	260.536394266146
L7_1769	192.49649368863953	264.78757086256326
L7_1842	206.1711079943899	264.1802599202179
L7_1843	199.50911640953717	268.43143651663524
L7_1844	192.8471248246844	272.6826131130525
L7_1918	206.52173913043478	272.0753021707072
L7_1919	199.85974754558205	276.3264787671245
L7_1995	213.5343618513324	275.71916782477916
L7_1996	206.87237026647966	279.97034442119644
L7_1997	200.21037868162693	284.2215210176138
L7_2074	213.88499298737727	283.61421007526843
L7_2075	207.22300140252455	287.8653866716857
L7_2076	200.56100981767182	292.11656326810305
L7_2153	220.89761570827488	287.2580757293404
L7_2154	214.23562412342216	291.5092523257577
