L7_645	165.84852734922862	127.535297892519
L7_691	166.1991584852735	135.43034014300827
L7_738	166.54978962131838	143.32538239349753
L7_835	180.5750350631136	150.61311370164148
L7_836	173.91304347826087	154.8642902980588
L7_887	180.92566619915848	158.50815595213075
L7_888	174.26367461430576	162.75933254854806
L7_940	181.27629733520337	166.40319820262002
L7_941	174.61430575035064	170.65437479903733
L7_994	188.28892005610098	170.047063856692
L7_995	181.62692847124825	174.2982404531093
L7_996	174.96493688639552	178.5494170495266
L7_1050	188.63955119214586	177.94210610718127
L7_1051	181.97755960729313	182.19328270359856
L7_1052	175.31556802244037	186.44445930001586
L7_1107	195.65217391304347	181.58597176125323
L7_1108	188.99018232819074	185.83714835767054
L7_1109	182.328190743338	190.08832495408785
L7_1164	209.32678821879384	180.9786608189079
L7_1166	196.00280504908835	189.4810140117425
L7_1167	189.34081346423562	193.7321906081598
L7_1168	182.6788218793829	197.98336720457712
L7_1223	216.33941093969145	184.62252647297987
L7_1225	203.01542776998596	193.1248796658145
L7_1226	196.35343618513323	197.37605626223177
L7_1227	189.6914446002805	201.62723285864908
L7_1228	183.02945301542778	205.8784094550664
L7_1287	203.36605890603084	201.01992191630376
L7_1288	196.70406732117812	205.27109851272107
L7_1289	190.0420757363254	209.52227510913835
L7_1347	223.70266479663394	196.16143437754113
L7_1349	210.37868162692845	204.66378757037572
L7_1350	203.71669004207573	208.91496416679303
L7_1351	197.054698457223	213.16614076321034
L7_1352	190.39270687237027	217.41731735962762
L7_1413	224.05329593267882	204.0564766280304
L7_1415	210.72931276297334	212.558829820865
L7_1416	204.0673211781206	216.8100064172823
L7_1417	197.40532959326788	221.0611830136996
L7_1481	217.74193548387098	216.20269547493697
L7_1482	211.07994389901822	220.45387207135425
L7_1483	204.4179523141655	224.70504866777156
L7_1484	197.75596072931276	228.95622526418887
L7_1549	224.75455820476859	219.84656112900893
L7_1551	211.4305750350631	228.34891432184355
L7_1552	204.76858345021037	232.60009091826083
L7_1553	198.10659186535764	236.85126751467814
L7_1618	231.7671809256662	223.49042678308092
L7_1619	225.10518934081347	227.7416033794982
L7_1620	218.4431977559607	231.9927799759155
L7_1621	211.78120617110798	236.24395657233282
L7_1622	205.11921458625525	240.4951331687501
L7_1689	238.7798036465638	227.13429243715288
L7_1692	218.7938288920056	239.88782222640478
L7_1693	212.13183730715286	244.1389988228221
L7_1694	205.46984572230014	248.39017541923937
L7_1763	232.46844319775596	239.28051128405946
L7_1764	225.80645161290323	243.53168788047677
L7_1765	219.14446002805047	247.78286447689405
L7_1766	212.48246844319775	252.03404107331136
L7_1767	205.82047685834502	256.28521766972864
L7_1836	246.1430575035063	238.67320034171414
L7_1838	232.81907433380084	247.17555353454873
L7_1839	226.1570827489481	251.42673013096604
L7_1840	219.49509116409536	255.67790672738332
L7_1841	212.83309957924263	259.9290833238006
L7_1911	253.1556802244039	242.3170659957861
L7_1912	246.49368863955118	246.5682425922034
L7_1914	233.16970546984572	255.070595785038
L7_1915	226.507713884993	259.3217723814553
L7_1916	219.84572230014024	263.5729489778726
L7_1989	253.5063113604488	250.21210824627536
L7_1991	240.18232819074333	258.71446143911
L7_1992	233.5203366058906	262.96563803552726
L7_1993	226.85834502103785	267.21681463194454
L7_1994	220.19635343618512	271.4679912283619
